Name,Venue,Date
Bob Dylan,Teatro Degli Arcimboldi,03/11/2013
Pixies,Alcatraz,04/11/2013
Bob Dylan,Teatro Degli Arcimboldi,05/11/2013
Frank Sent Us,Centro Sociale Cantiere,09/11/2013
Fabri Fibra,Alcatraz,12/11/2013
Arctic Monkeys,Mediolanum Forum,13/11/2013
The Naked and Famous,Circolo Magnolia,16/11/2013
Buckcherry,Alcatraz,17/11/2013
Max 20 Live Tour,Mediolanum Forum,18/11/2013
Tom Odell,The Factory,19/11/2013
Skrillex,Magazzini Generali,19/11/2013
John Newman,La Salumeria Della Musica,20/11/2013
Primal Scream,Alcatraz,20/11/2013
Bastille,Alcatraz,23/11/2013
Bring Me The Horizon,Alcatraz,25/11/2013
The Wonder Years,Tunnel Club,26/11/2013
Nick Cave and The Bad Seeds,Alcatraz,28/11/2013
Negrita,Teatro Nuovo,02/12/2013
Jake Bugg,Alcatraz,04/12/2013
Kodaline,Tunnel Club,07/12/2013
The Fratellis,Magazzini Generali,08/12/2013
Hanson,Magazzini Generali,17/12/2013
Pusha T,Limelight,19/12/2013
Italy vs Germany,San Siro,15/11/2013
Inter vs Livorno,San Siro,09/11/2013
Inter vs Sampdoria,San Siro,01/12/2013
Inter vs Parma,San Siro,08/12/2013
Inter vs Milan,San Siro,22/12/2013
Milan vs Genoa,San Siro,23/11/2013
Milan vs Fiorentina,San Siro,03/11/2013
Milan vs Roma,San Siro,15/11/2013
